id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
1,Completed,Male,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,other materity leave,17 weeks 6 months,other country,Other leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,single,No unfairly treated,Yes changed companies,client location
2,Completed,Female,data worker,empty nester,11 15 years,45-54yo,Employed full time,90-119k,partially paid,6 8weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,single,Other unfairly treated,No changed companies,Fully remote
3,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,60-89k,partially paid,13 16weeks,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
4,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Self employed,30-59k,not paid,6 8weeks,Europe,Other leave,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully remote
5,Completed,Female,data worker,kids in home No,less 2,25-34yo,Employed full time,less30k,other materity leave,no leave,other country,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
6,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,90-119k,other materity leave,no leave,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
7,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,90-119k,full paid,less 2weeks,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
8,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,full paid,3 5weeks,Asia,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,No changed companies,Fully in office
9,Completed,Female,data worker,kids in home Yes,2 5 years,45-54yo,Employed full time,30-59k,partially paid,6 month plus,Europe,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
10,Completed,Male,data worker,kids in home No,2 5 years,25-34yo,Employed full time,less30k,not paid,less 2weeks,Asia,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,single,No unfairly treated,No changed companies,Fully in office
